,precision,recall,f1-score,support
reading_understanding,0.9379652605459057,0.9759036144578314,0.9565584141712358,5810.0
steady_work,0.7490723562152134,0.8223014256619144,0.7839805825242718,9820.0
deep_output,0.8202443280977313,0.5791743684534812,0.678945467677862,8115.0
overheat_debugging,0.9881278538812786,0.8922484881803189,0.9377437527083634,18190.0
closing,0.4269102990033223,0.8384991843393148,0.565767749036874,3065.0
accuracy,0.8276666666666667,0.8276666666666667,0.8276666666666667,0.8276666666666667
macro avg,0.7844640195486903,0.8216254162185722,0.7845991932237214,45000.0
weighted avg,0.8609839367303074,0.8276666666666667,0.8346127375442718,45000.0
