,precision,recall,f1-score,support
reading_understanding,0.9760367097212781,0.9884681583476764,0.9822131007354199,5810.0
steady_work,0.945156858255095,0.8406313645621182,0.8898350759943947,9820.0
deep_output,0.96,0.8842883548983365,0.9205901218729955,8115.0
overheat_debugging,0.999450156705339,0.9992853216052776,0.9993677323583583,18190.0
closing,0.5995762711864406,0.9233278955954323,0.72703917790623,3065.0
accuracy,0.9373555555555556,0.9373555555555556,0.9373555555555556,0.9373555555555556
macro avg,0.8960439991736304,0.9272002190017682,0.9038090417734796,45000.0
weighted avg,0.9502291834044936,0.9373555555555556,0.9404955896092941,45000.0
