,precision,recall,f1-score,support
deep_output,0.9997596153846153,0.9978406909788867,0.9987992315081652,4168.0
overheat_debugging,1.0,1.0,1.0,15625.0
steady_work,0.9966850828729282,0.9996305873660879,0.9981556621172999,2707.0
accuracy,0.9995555555555555,0.9995555555555555,0.9995555555555555,0.9995555555555555
macro avg,0.9988148994191812,0.9991570927816582,0.9989849645418216,22500.0
weighted avg,0.9995566487226708,0.9995555555555555,0.9995556699678918,22500.0
