task,mae_turns,median_abs_error_turns,r2_log_remaining,positive_rate,accuracy,balanced_accuracy,f1,auc,macro_f1,weighted_f1
remaining_turns_regression,10.832552510047,7.395582327967658,0.7547642297831801,,,,,,,
future_end_within_5,,,,0.10105319290761232,0.952306359152113,0.8396903932818829,0.7474854420328216,0.9787148316029483,,
future_long_output_3,,,,0.41851086521797093,0.7786961738434875,0.7830365134687778,0.7538370282494253,0.8606458680930574,,
future_overheat_5,,,,0.5226636448473537,0.6535795227303026,0.6506954989599978,0.6830904323434356,0.7165099900175248,,
pet_state_multiclass,,,,,0.9474736701773097,0.9398688233716234,,,0.9225446180707163,0.9506104222317545
